,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.121732324,3638.744384765625,768.4184,16.891325,4484.202,93.93056,0.33804402,0.09133333,0.09616667,0.0905,0.9123333,0.9124,0.9183,0.2931723908408741
alpha_post=60000.00000000002/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.2592410280941655,-1.0,5332.3745,86.12196,19158.473,309.4241,0.4957285,0.1357,0.1357,0.1499,0.31796667,0.31796667,0.3261,0.4738095921148408
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.004331618,116.72315979003906,93.79638,340.23697,49.655415,179.37283,0.88527155,0.8387333,0.83956665,0.8366,0.28653333,0.28543332,0.283,0.8709679714597431
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0083911650724019,-1.0,110.92605,110.92605,132.7191,132.7191,0.52780664,0.46303332,0.46303332,0.4612,0.90136665,0.90136665,0.9042,0.5277714632452647
alpha_post=60000.00000000002/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.9555806096988944,-1.0,1560.9595,99.736435,54604.06,3488.8887,0.72074044,0.029516667,0.029516667,0.0296,0.90965,0.90965,0.9108,0.6703033886401517
alpha_post=15166.394348316875/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0805575720606972,-1.0,1764.2614,112.726265,4842.749,309.4241,0.37129575,0.1706,0.1706,0.1822,0.31796667,0.31796667,0.3261,0.3512683445029707
alpha_post=3833.6586254776325/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,2.7580822706222543,-1.0,3186.0566,49864.48,82.38794,1289.4409,2.0046258,0.8303,0.8303,0.8305,0.023366667,0.023366667,0.0232,0.9999999943103632
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.029691149,877.509033203125,142.62828,1855.6539,72.66836,908.18494,0.3483091,0.22646667,0.2233,0.2215,0.115666665,0.109966666,0.1061,0.3378749220739321
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0033151319,86.22857666015625,768.4184,806.4625,956.3694,908.18494,0.13204655,0.09133333,0.09616667,0.0905,0.115666665,0.109966666,0.1061,0.116588512165254
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.049915645,1484.2440185546875,768.4184,61.2779,2370.7573,179.37283,0.24931379,0.09133333,0.09616667,0.0905,0.28653333,0.28543332,0.283,0.2083087447273111
