,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044236792,0.045654296875,3254.724,3254.7961,3423.7544,3423.7808,0.9169723,0.9021,0.9045333,0.9021,0.9001667,0.9021,0.9012,0.9107020284333508
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.815053,24438.365234375,8316.135,48.029198,32896.4,189.92688,1.363678,0.7253,0.7262,0.7291,0.9045333,0.9049,0.906,0.9938471636384338
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,8.9908266e-05,-8.177459716796875,222.38078,0.0,214.20332,0.0,0.9065048,0.8998,-1.0,0.9,-1.0,-1.0,-1.0,0.903778483868225
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.39310232,11779.84375,1228.8121,16172.554,260.17093,3424.0684,1.341841,0.8985,0.90146667,0.9,0.9001667,0.9021,0.9012,0.9991755259935028
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-377.9610595703125,240.00662,870.6967,383.8413,1392.4924,0.8990667,0.8990667,0.9009333,0.9,0.91083336,0.91193336,0.9103,0.8990666873822608
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044442684,0.107421875,4196.507,4196.588,4261.7188,4261.6924,0.92590684,0.911,0.91003335,0.9082,0.9201667,0.92303336,0.9208,0.9192456621898356
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.2909348,8714.818359375,240.00662,11459.014,53.57154,2557.7598,1.2804686,0.8990667,0.9009333,0.9,0.89926666,0.90103334,0.9002,0.9977650924126048
alpha_post=30000.00000000001/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0016270767,35.5869140625,8316.135,8318.901,5447.0396,5414.219,0.7538226,0.7253,0.7262,0.7291,0.37186667,0.3641,0.3708,0.7502562374026216
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-672.5468139648438,156.76433,568.72205,412.70737,1497.2119,0.8990667,0.8990667,0.9009333,0.9,0.90746665,0.9084,0.9084,0.8990666873822608
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.7039089,42220.96484375,10247.917,0.0,52468.883,0.0,0.8993575,0.3061,-1.0,0.3166,-1.0,-1.0,-1.0,0.8386991676345392
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.45822692,27480.04296875,11682.063,0.0,39162.105,0.0,0.7845247,0.30586666,-1.0,0.3118,-1.0,-1.0,-1.0,0.7597710301083795
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.15716727,9416.4638671875,3846.2666,0.0,13262.73,0.0,0.6345111,0.35418335,-1.0,0.3607,-1.0,-1.0,-1.0,0.6311926747101793
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.47809398,14329.59375,4196.507,318.87177,19704.445,1497.217,1.3999243,0.911,0.91003335,0.9082,0.90746665,0.90846664,0.9083,0.9998404968843726
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,2.1317751,63940.02734375,6174.677,128.66608,71483.26,1497.217,1.3648183,0.3324,0.3271,0.3307,0.90746665,0.90846664,0.9083,0.984039618134352
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.06073351,1808.7799072265625,1284.8313,4661.3413,596.68713,2164.4172,1.072794,0.89853334,0.90146667,0.9,0.9047,0.90283334,0.9042,0.9722613998207734
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.95993745,28784.8984375,198.4094,34366.08,31.448498,5414.219,1.5918645,0.8990667,0.9009333,0.9,0.37186667,0.3641,0.3708,0.999997102498588
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0,-989.73876953125,1837.1517,0.0,847.41296,0.0,0.9066667,0.9066667,-1.0,0.9065,-1.0,-1.0,-1.0,0.906666696767012
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.5165597,15483.56640625,1684.4135,22168.314,413.88556,5414.219,1.4300125,0.9218,0.9219,0.9212,0.37186667,0.3641,0.3708,0.9999594701424792
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044097274,0.0037994384765625,198.4094,198.41264,189.92743,189.92688,0.91391546,0.8990667,0.9009333,0.9,0.9045333,0.9049,0.906,0.9077778009023288
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.68970335,20677.875,6109.718,461.8222,28490.34,2164.5693,0.9376074,0.35036665,0.34456667,0.3485,0.90503335,0.90276664,0.904,0.8617084048843857
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0004492608,0.25244140625,2276.6943,2276.7192,2164.925,2164.6975,0.9310877,0.9161,0.9187,0.9202,0.905,0.9026333,0.9036,0.92416116582174
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-532.4701538085938,1284.9338,354.2136,549.8032,151.55316,0.89853334,0.89853334,0.90146667,0.9,0.9047667,0.90496665,0.9058,0.8985333465367553
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044318172,0.070068359375,1284.9338,1285.0068,1497.2141,1497.217,0.91341925,0.89853334,0.90146667,0.9,0.90746665,0.90846664,0.9083,0.90728695929878
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.7261255,21770.5390625,2276.6943,29963.309,489.84695,6405.921,1.518647,0.9161,0.9187,0.9202,0.3396,0.33236668,0.3436,0.9999943821946252
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.19785987,5922.5703125,198.4094,9473.05,71.710396,3423.7808,1.213598,0.8990667,0.9009333,0.9,0.9001667,0.9021,0.9012,0.9941977410140036
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.39006868,11688.8349609375,1284.9338,16911.64,323.82065,4261.6924,1.3401603,0.89853334,0.90146667,0.9,0.9201667,0.92303336,0.9208,0.9991516958227074
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.6657455,19959.140625,6174.677,35.46695,26249.904,151.55316,0.9093512,0.3324,0.3271,0.3307,0.9047667,0.90496665,0.9058,0.8452556773896021
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.09696695,2895.783203125,2276.6943,8259.422,1174.7479,4261.6924,1.1362896,0.9161,0.9187,0.9202,0.9201667,0.92303336,0.9208,0.9884867632725332
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.099629335,2975.65478515625,4196.507,87.89737,7235.8174,151.55316,1.134192,0.911,0.91003335,0.9082,0.9047667,0.90496665,0.9058,0.9872367124183974
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.7096815,21277.220703125,156.76434,27153.17,33.492958,5752.678,1.4947518,0.8990667,0.9009333,0.9,0.32033333,0.30943334,0.3211,0.9999654097138712
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.07056092,4220.0830078125,5679.05,0.0,9899.133,0.0,0.5247809,0.33695,-1.0,0.349,-1.0,-1.0,-1.0,0.5234487621142474
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,1.7384826,52141.25,1228.8086,58670.19,114.088036,5414.219,1.830831,0.8985,0.90146667,0.9,0.37186667,0.3641,0.3708,0.9999999992437664
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,1.7936331,53795.765625,1284.9338,61351.594,135.02689,6405.921,1.8455373,0.89853334,0.90146667,0.9,0.3396,0.33236668,0.3436,0.9999999992440144
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044107446,0.0068511962890625,115.0967,115.10255,113.16434,113.16333,0.9139172,0.8990667,0.9009333,0.9,0.90573335,0.90493333,0.9066,0.9077787785176508
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-877.1630859375,417.31476,5492.452,490.2328,6442.533,0.8990667,0.8990667,0.9009333,0.9,0.5214667,0.5222667,0.5278,0.8990666873822608
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-246.23291015625,1168.3839,322.0709,828.44025,228.36017,0.8983667,0.8983667,0.9013,0.9,0.9045333,0.9049,0.906,0.898366690439234
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.070912786,2114.158203125,3243.4844,67.86722,5402.939,113.16333,0.60473204,0.41643333,0.41476667,0.4252,0.90573335,0.90493333,0.9066,0.6033455882410408
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.05058877,1504.437744140625,3832.6655,291.24448,5460.786,414.92706,0.71660876,0.55756664,0.5556,0.559,0.9097667,0.90856665,0.911,0.7078945206720135
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0109741,644.8740234375,1857.3618,0.0,2502.2358,0.0,0.80220795,0.7281333,-1.0,0.7288,-1.0,-1.0,-1.0,0.7904148850176229
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044165787,0.02435302734375,417.31476,417.33612,414.93005,414.92706,0.913927,0.8990667,0.9009333,0.9,0.9097667,0.90856665,0.911,0.9077843825094812
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.07661492,2285.22216796875,2276.6943,627.5803,5431.553,1497.217,1.111823,0.9161,0.9187,0.9202,0.90746665,0.90846664,0.9083,0.9846976232463618
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00045000136,0.274658203125,1284.8073,1285.1184,1287.8169,1287.8534,0.9135334,0.89853334,0.90146667,0.9,0.8743333,0.8749,0.8764,0.9073522280625994
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-93.50927734375,156.76434,2063.1948,164.47751,2164.4172,0.8990667,0.8990667,0.9009333,0.9,0.9047,0.90283334,0.9042,0.8990666873822608
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.22063272,6605.755859375,6322.337,1729.9425,15459.6045,4261.4546,0.6582724,0.32613334,0.3217,0.3288,0.94056666,0.9425333,0.9423,0.6528663293308834
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.09548811,2851.41796875,3167.099,11474.3125,2097.4707,7553.2656,0.6235708,0.40506667,0.4034,0.4084,0.377,0.37433332,0.3865,0.6213283118832615
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.087460116,2610.578125,1684.4135,464.31445,5288.4487,1457.7714,1.1309173,0.9218,0.9219,0.9212,0.9099333,0.91106665,0.9098,0.9888275176736075
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.42223707,12653.88671875,6872.934,39.345646,19600.639,113.16334,0.7559764,0.2965,0.29256666,0.2999,0.90573335,0.90493333,0.9066,0.7370127496228585
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044102207,0.005279541015625,156.76434,156.76889,151.5539,151.55316,0.9139163,0.8990667,0.9009333,0.9,0.9047667,0.90496665,0.9058,0.9077782754217658
alpha_post=8269.535156745107/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.020706065,607.95654296875,3832.6655,1056.5688,4671.9062,1287.853,0.6593165,0.55756664,0.5556,0.559,0.8743,0.8749,0.8764,0.6560389667775937
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,4.916272e-05,-10.6221923828125,643.1205,0.0,632.4983,0.0,0.90495795,0.9,-1.0,0.8999,-1.0,-1.0,-1.0,0.9029485180553296
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.31062916,9305.6494140625,6872.934,517.8178,16948.62,1287.853,0.6905997,0.2965,0.29256666,0.2999,0.8743,0.8749,0.8764,0.6814468084470198
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.22961491,6875.2216796875,4196.921,15225.727,1599.094,5752.678,1.2516658,0.91283333,0.9115667,0.9103,0.32033333,0.30943334,0.3211,0.9975294806606376
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.42261988,12665.37109375,6872.934,142.73709,19810.496,414.92706,0.7561846,0.2965,0.29256666,0.2999,0.9097667,0.90856665,0.911,0.737181116554865
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.2888811,8653.20703125,1284.8073,16913.11,578.1703,7553.2656,1.2785866,0.89853334,0.90146667,0.9,0.377,0.37433332,0.3865,0.997669983905336
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0005047855,1.918182373046875,115.09671,417.566,114.375946,414.92706,0.9149536,0.8990667,0.9009333,0.9,0.9097667,0.90856665,0.911,0.9083692032752956
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.19448467,5821.314453125,6872.934,1878.5256,14930.204,4114.482,0.60833704,0.2965,0.29256666,0.2999,0.6066667,0.5994,0.6081,0.6049188645058798
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.00017044746,-3.3451080322265625,163.22374,0.0,159.87863,0.0,0.9090317,0.8998,-1.0,0.9,-1.0,-1.0,-1.0,0.905252976201416
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00027736955,-4.904296875,417.31476,115.03917,410.5346,113.16334,0.91084313,0.8990667,0.9009333,0.9,0.90573335,0.90493333,0.9066,0.9060140008745368
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.7000000000000001/beta_prior=0.7000000000000001/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.105635524,3155.84033203125,156.76434,7484.803,89.25606,4261.4546,1.1288879,0.8990667,0.9009333,0.9,0.94056666,0.9425333,0.9423,0.9841634221475228
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.013683359,397.275390625,1284.8057,4662.113,1134.4502,4114.482,0.9812478,0.89853334,0.90146667,0.9,0.6066667,0.5994,0.6081,0.94121160206684
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.005766955,159.78326416015625,1284.8057,354.24396,1505.2721,414.92706,0.95223135,0.89853334,0.90146667,0.9,0.9097667,0.90856665,0.911,0.9278890261523288
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-927.01904296875,115.0967,5495.4775,135.13324,6442.533,0.8990667,0.8990667,0.9009333,0.9,0.5214667,0.5222667,0.5278,0.8990666873822608
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0074321143,209.738037109375,115.09671,1514.8348,97.85289,1287.853,0.96002614,0.8990667,0.9009333,0.9,0.8743,0.8749,0.8764,0.9318314445957334
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0067410255,189.00537109375,1284.8057,97.647766,1489.3267,113.16334,0.95658946,0.89853334,0.90146667,0.9,0.90573335,0.90493333,0.9066,0.9300026104032356
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.9/beta_prior=0.9/bound=comp/comp_post=risk_path_norm/comp_prior=risk_path_norm/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0059015416,163.82086181640625,417.31476,1514.0007,354.98822,1287.8534,0.9533877,0.8990667,0.9009333,0.9,0.8743333,0.8749,0.8764,0.9286467799629284
