,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_0001.h5/prior=0.0/seed=0,0.022266855,1322.439453125,0.03834785,0.0,1322.4778,0.0,8322.007,0.0,0.36036506,0.25485,-1,0.2498,-1,-1,-1,0.035766665,-1,0.0345,0.353118047766335
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_0001.h5/prior=0.0/seed=0,0.022823999,1355.8680419921875,0.24366084,0.0,1356.1117,0.0,1076.3514,0.0,0.36372697,0.2569,-1,0.2518,-1,-1,-1,0.035766665,-1,0.0345,0.3566338022451951
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_001.h5/prior=0.0/seed=0,0.031187184,1857.6591796875,0.09434307,0.0,1857.7535,0.0,15910.0,0.0,0.39552432,0.27065,-1,0.2671,-1,-1,-1,0.035766665,-1,0.0345,0.389460892275
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_0001.h5/prior=0.0/seed=0,0.035999756,2146.413330078125,0.004545894,0.0,2146.418,0.0,31813.963,0.0,0.38549694,0.25133333,-1,0.2463,-1,-1,-1,0.035766665,-1,0.0345,0.3776362124762569
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_001.h5/prior=0.0/seed=0,0.23380473,14014.7119140625,37.53418,0.0,14052.246,0.0,0.0,0.0,0.37757656,0.035666667,-1,0.0345,-1,-1,-1,0.035766665,-1,0.0345,0.3006578965123038
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_001.h5/prior=0.0/seed=0,1.0557743,63332.88671875,0.44198802,0.0,63333.33,0.0,4534.309,0.0,1.0175917,0.29103333,-1,0.2856,-1,-1,-1,0.035766665,-1,0.0345,0.8993666944462682
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_0001.h5/prior=0.0/seed=0,0.14394034,8622.8486328125,0.09240741,0.0,8622.941,0.0,34115.75,0.0,0.42545593,0.15718333,-1,0.1685,-1,-1,-1,0.14161667,-1,0.1528,0.4042714231788862
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_0001.h5/prior=0.0/seed=0,0.022694273,1348.08447265625,0.019489488,0.0,1348.104,0.0,1639.6283,0.0,0.52195626,0.41543335,-1,0.4192,-1,-1,-1,0.14161667,-1,0.1528,0.5217811748712737
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_5_001.h5/prior=0.0/seed=0,0.0108178705,635.500244140625,0.071097724,0.0,635.57135,0.0,199989.4,0.0,0.12549546,0.05195,-1,0.0497,-1,-1,-1,0.035766665,-1,0.0345,0.091133028928515
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_001.h5/prior=0.0/seed=0,0.9790758,58730.9765625,68.041504,0.0,58799.02,0.0,0.0,0.0,0.7335532,0.033883333,-1,0.0328,-1,-1,-1,0.035766665,-1,0.0345,0.6844053570024045
